country,iso3,latitude,longitude
Greece,GRC,39.066715899713955,22.719813447095053
Turkey,TUR,39.06837194061471,35.116900150938406
Albania,ALB,41.141353306048785,20.03242643144321
Croatia,HRV,45.01623399593114,16.566189771645533
Switzerland,CHE,46.79173768366762,8.118300613385486
Luxembourg,LUX,49.76570507415103,5.965223432343999
Belgium,BEL,50.65244095902296,4.580834113854935
Netherlands,NLD,52.298700374441786,5.512217100965399
Portugal,PRT,39.63404977497817,-8.055765588295687
Spain,ESP,40.348656106226734,-3.6170206023873743
Ireland,IRL,53.18059120995006,-8.010236544877012
New Caledonia,NCL,-21.26135761252651,165.53447460087543
Solomon Islands,SLB,-8.852497470848528,159.9666154474296
New Zealand,NZL,-41.662578757158684,172.70192594405574
Australia,AUS,-25.730654779726077,134.50277547536595
Sri Lanka,LKA,7.700534417248105,80.66723574931648
China,CHN,36.555066531858685,103.88361230063249
Taiwan,TWN,23.740964979784938,120.97480073748623
Italy,ITA,42.751183052964265,12.140788372235871
Denmark,DNK,56.06393446179454,9.876372937675002
United Kingdom,GBR,53.91477348053706,-2.8531353951805545
Iceland,ISL,65.07427633529105,-18.761028770831768
Azerbaijan,AZE,40.22069054766167,47.553909558006055
Georgia,GEO,42.16201501415301,43.48154265409026
Philippines,PHL,11.763799362297663,122.90267236988682
Malaysia,MYS,3.7255884257737155,109.6981484486297
Brunei,BRN,4.690250542520635,114.91510877393951
Slovenia,SVN,46.12542205901039,14.938152320795732
Finland,FIN,64.50409403963651,26.211764610296353
Slovakia,SVK,48.7267113517275,19.507657147433708
Czechia,CZE,49.775245294369,15.334558102365815
Eritrea,ERI,15.427276751412931,38.67818692786484
Japan,JPN,37.66311081170466,138.06496213270776
Paraguay,PRY,-23.248041946292087,-58.387387833505706
Yemen,YEM,15.913231950143004,47.535044758543485
Saudi Arabia,SAU,24.123289839105293,44.51636376826477
Antarctica,ATA,-80.49198288284343,20.571000569842635
Northern Cyprus,-99,35.273957681259716,33.5582859592249
Cyprus,CYP,34.90706085094344,33.03955380295407
Morocco,MAR,29.885394698302058,-8.420479544549693
Egypt,EGY,26.50661999974957,29.844461513124415
Libya,LBY,26.997460407020338,17.974352779160352
Ethiopia,ETH,8.653999188132575,39.551255792937745
Djibouti,DJI,11.773044395533926,42.4980197360445
Somaliland,-99,9.757971805222988,46.23074953490769
Uganda,UGA,1.2954855035097297,32.35755031998686
Rwanda,RWA,-2.0135144658341346,29.91896392224289
Bosnia and Herzegovina,BIH,44.1807677629747,17.816883270390086
North Macedonia,MKD,41.60592964714007,21.697903375280845
Republic of Serbia,SRB,44.23303653365162,20.819651926382583
Montenegro,MNE,42.78903960655908,19.2861817215929
Kosovo,-99,42.579367131816994,20.895355721342227
Trinidad and Tobago,TTO,10.428237089201879,-61.33036691444967
South Sudan,SSD,7.292890133516845,30.198617582461907
